#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,STUDENT_COUNT_ALL,FIVE_OR_FEWER_PERCENT_ALL,SIX_TO_FIFTEEN_PERCENT_ALL,OVER_15_PERCENT_ALL,STUDENT_COUNT_INDIAN,FIVE_OR_FEWER_PERCENT_INDIAN,SIX_TO_FIFTEEN_PERCENT_INDIAN,OVER_15_PERCENT_INDIAN,STUDENT_COUNT_ASIAN,FIVE_OR_FEWER_PERCENT_ASIAN,SIX_TO_FIFTEEN_PERCENT_ASIAN,OVER_15_PERCENT_ASIAN,STUDENT_COUNT_BLACK,FIVE_OR_FEWER_PERCENT_BLACK,SIX_TO_FIFTEEN_PERCENT_BLACK,OVER_15_PERCENT_BLACK,STUDENT_COUNT_WHITE,FIVE_OR_FEWER_PERCENT_WHITE,SIX_TO_FIFTEEN_PERCENT_WHITE,OVER_15_PERCENT_WHITE,STUDENT_COUNT_HISPANI,FIVE_OR_FEWER_PERCENT_HISPANI,SIX_TO_FIFTEEN_PERCENT_HISPANI,OVER_15_PERCENT_HISPANI,STUDENT_COUNT_MULTI,FIVE_OR_FEWER_PERCENT_MULTI,SIX_TO_FIFTEEN_PERCENT_MULTI,OVER_15_PERCENT_MULTI,STUDENT_COUNT_FEMALE,FIVE_OR_FEWER_PERCENT_FEMALE,SIX_TO_FIFTEEN_PERCENT_FEMALE,OVER_15_PERCENT_FEMALE,STUDENT_COUNT_MALE,FIVE_OR_FEWER_PERCENT_MALE,SIX_TO_FIFTEEN_PERCENT_MALE,OVER_15_PERCENT_MALE,STUDENT_COUNT_SWD,FIVE_OR_FEWER_PERCENT_SWD,SIX_TO_FIFTEEN_PERCENT_SWD,OVER_15_PERCENT_SWD,STUDENT_COUNT_NOT_SWD,FIVE_OR_FEWER_PERCENT_NOT_SWD,SIX_TO_FIFTEEN_PERCENT_NOT_SWD,OVER_15_PERCENT_NOT_SWD,STUDENT_COUNT_ED,FIVE_OR_FEWER_PERCENT_ED,SIX_TO_FIFTEEN_PERCENT_ED,OVER_15_PERCENT_ED,STUDENT_COUNT_NOT_ED,FIVE_OR_FEWER_PERCENT_NOT_ED,SIX_TO_FIFTEEN_PERCENT_NOT_ED,OVER_15_PERCENT_NOT_ED,STUDENT_COUNT_LEP,FIVE_OR_FEWER_PERCENT_LEP,SIX_TO_FIFTEEN_PERCENT_LEP,OVER_15_PERCENT_LEP,STUDENT_COUNT_MIGRANT,FIVE_OR_FEWER_PERCENT_MIGRANT,SIX_TO_FIFTEEN_PERCENT_MIGRANT,OVER_15_PERCENT_MIGRANT,CHRONIC_ABSENT_PERC_ALL,CHRONIC_ABSENT_PERC_INDIAN,CHRONIC_ABSENT_PERC_ASIAN,CHRONIC_ABSENT_PERC_BLACK,CHRONIC_ABSENT_PERC_WHITE,CHRONIC_ABSENT_PERC_HISPANI,CHRONIC_ABSENT_PERC_MULTI,CHRONIC_ABSENT_PERC_FEMALE,CHRONIC_ABSENT_PERC_MALE,CHRONIC_ABSENT_PERC_SWD,CHRONIC_ABSENT_PERC_NOT_SWD,CHRONIC_ABSENT_PERC_ED,CHRONIC_ABSENT_PERC_NOT_ED,CHRONIC_ABSENT_PERC_LEP,CHRONIC_ABSENT_PERC_MIGRANT
"Attendance","2023-24","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","3480","32.7","45.3","22","TFS","TFS","50","50","23","69.6","21.7","8.7","739","38.2","40.9","21","1857","28.7","47.3","24","698","38.4","45.8","15.8","161","24.8","42.2","32.9",1707,"33.7","46.5","19.9","1773","31.8","44.1","24.1","580","31","38.6","30.3","2900","33.1","46.6","20.3","3480","32.7","45.3","22",,,,,"456","40.6","47.6","11.8","278","47.8","41","11.2","21.7","100","8.7","22.6","22.5","16.2","34.2","20","23.4","30.2","20","21.7",,"12.5","14.4"
"Attendance","2023-24","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1620","40.9","42.8","16.2",,,,,"TFS","100","TFS","TFS","232","40.1","47.8","12.1","639","31.5","45.4","23.2","715","49.5","39.2","11.3","30","36.7","43.3","20",805,"38.3","45.3","16.4","815","43.6","40.4","16.1","217","36.9","41","22.1","1403","41.6","43.1","15.3","1620","40.9","42.8","16.2",,,,,"331","49.8","39.9","10.3","130","47.7","39.2","13.1","15.5",,"TFS","14.2","20.3","11.7","13.3","15.9","15.1","19.8","14.8","15.5",,"11.5","15.4"
"Attendance","2023-24","District","603","Bacon County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2163","26.3","47.7","26","TFS","TFS","100","TFS","TFS","100","TFS","TFS","482","25.3","45.6","29","1193","23.6","49.5","26.9","379","36.7","45.6","17.7","101","20.8","44.6","34.7",1040,"27.8","47.5","24.7","1123","24.9","47.8","27.2","416","23.8","44.7","31.5","1747","26.9","48.4","24.7","1961","25.4","47.8","26.8","202","35.1","46","18.8","228","41.7","45.6","12.7","79","29.1","53.2","17.7","24.6","TFS","TFS","29","24.7","18.7","26.7","22.9","26.3","31.5","23","24.8","23.3","16.2","25.3"
"Attendance","2023-24","District","604","Baker County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12","333","56.5","23.4","20.1",,,,,"TFS","20","20","60","183","59","23.5","17.5","88","58","21.6","20.5","41","51.2","24.4","24.4","16","43.8","31.3","25",155,"55.5","21.9","22.6","178","57.3","24.7","18","61","62.3","21.3","16.4","272","55.1","23.9","21","333","56.5","23.4","20.1",,,,,"27","51.9","29.6","18.5","13","76.9","23.1","TFS","22.8",,"60","18","29.5","26.8","18.8","23.9","21.9","19.7","23.5","22.8",,"22.2","7.7"
"Attendance","2023-24","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12","4625","39.5","39.7","20.8","TFS","62.5","25","12.5","58","51.7","32.8","15.5","2969","41.7","37.8","20.4","1094","34","43.1","22.9","250","43.2","44","12.8","246","29.3","44.7","26",2312,"40.3","40","19.7","2313","38.7","39.3","22","685","33.7","40.7","25.5","3940","40.5","39.5","20","4625","39.5","39.7","20.8",,,,,"154","50.6","40.9","8.4",,,,,"19.3","12.5","15.5","18.5","22.3","12.8","23.6","18.2","20.4","25.4","18.2","19.3",,"9.1",
"Attendance","2023-24","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","3045","23.3","44.1","32.6","TFS","50","50","TFS","42","64.3","28.6","7.1","59","18.6","40.7","40.7","2390","21.5","44.1","34.4","417","30","44.6","25.4","135","22.2","49.6","28.1",1472,"23.3","43.6","33.1","1573","23.2","44.6","32.2","521","20.7","42.8","36.5","2524","23.8","44.4","31.9","1929","20.3","42.3","37.4","1116","28.4","47.2","24.4","233","33","45.1","21.9","TFS","25","50","25","27.7","TFS","9.5","40.7","28.4","24.2","27.4","28.2","27.3","31.3","27","32.9","18.7","21.9","25"
"Attendance","2023-24","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","15860","31.9","46.8","21.3","21","14.3","57.1","28.6","689","45.1","41.2","13.6","2507","37.6","43.8","18.6","7240","29.5","48.2","22.3","4405","30.9","47.6","21.5","998","30.7","44.7","24.6",7685,"32.9","46","21.1","8175","31","47.6","21.5","2685","27.5","46.9","25.6","13175","32.8","46.8","20.4","9020","28.4","48","23.5","6840","36.4","45.2","18.3","2704","35.1","46.3","18.6","28","35.7","50","14.3","20.5","42.9","12","19.8","20.6","21.3","23.4","20.1","20.9","24.7","19.6","20.1","21.1","19","10.7"
"Attendance","2023-24","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","14573","24.4","44.8","30.7","31","35.5","41.9","22.6","174","43.7","43.1","13.2","1533","31.2","41.5","27.3","9370","22.4","45.1","32.5","2666","27","45.8","27.2","799","22.5","45.1","32.4",7066,"24.2","44.8","31.1","7507","24.7","44.8","30.5","2290","21.5","42.3","36.2","12283","25","45.3","29.7","9797","21.7","44.1","34.2","4776","30.1","46.3","23.6","1444","30.8","47.8","21.4","11","36.4","18.2","45.5","29","9.7","14.4","30.1","29.7","25.8","33.3","29.1","29","35.2","27.9","31.8","23.3","21.2","45.5"
"Attendance","2023-24","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2987","24.8","46.5","28.7","TFS","50","TFS","50","11","63.6","36.4","TFS","1287","26.7","45.1","28.2","1201","21.5","48.7","29.8","373","29","44.5","26.5","113","22.1","46.9","31",1453,"24.6","46.4","29","1534","25.1","46.6","28.3","391","24.8","47.1","28.1","2596","24.8","46.4","28.7","2987","24.8","46.5","28.7",,,,,"148","29.7","54.7","15.5","25","8","64","28","25.4","50","TFS","26.3","24.9","24.7","25.7","25.9","24.9","27.1","25.2","25.4",,"13.5","24"
"Attendance","2023-24","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","3168","29.7","45.1","25.2","TFS","50","50","TFS","24","54.2","37.5","8.3","382","35.3","42.1","22.5","2224","29.1","45.8","25.1","346","30.3","43.6","26","188","20.7","46.3","33",1531,"28.7","45.4","25.9","1637","30.7","44.8","24.6","342","27.2","43.3","29.5","2826","30","45.3","24.7","2582","25","47.4","27.7","586","50.7","35","14.3","117","34.2","46.2","19.7","81","28.4","35.8","35.8","22.4","25","4.2","22","21.7","26.3","26.6","22.9","22","27.2","21.8","24.1","15","17.9","30.9"
